City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,isafjordur,66.0755,-23.124,33.01,77,80,5.28,IS,1682987513
1,traverse city,44.7631,-85.6206,35.67,95,100,16.11,US,1682987467
2,west island,-12.1568,96.8225,80.58,83,40,16.11,CC,1682987513
3,kinkala,-4.3614,14.7644,71.96,88,100,1.57,CG,1682987513
4,westport,41.1415,-73.3579,56.21,73,100,10.36,US,1682987257
5,waitangi,-43.9535,-176.5597,60.82,81,99,5.01,NZ,1682987514
6,port mathurin,-19.6833,63.4167,78.73,76,1,7.83,MU,1682987514
7,ribeira grande,38.5167,-28.7,60.78,78,66,11.99,PT,1682987514
8,edinburgh of the seven seas,-37.0676,-12.3116,60.94,77,19,16.84,SH,1682987514
9,portrush,55.1959,-6.6493,43.47,79,96,2.73,GB,1682987515
10,olonkinbyen,70.9221,-8.7187,28.85,61,63,9.31,SJ,1682987515
11,bredasdorp,-34.5322,20.0403,54.82,74,100,4.0,ZA,1682987515
12,puerto natales,-51.7236,-72.4875,40.73,85,92,13.47,CL,1682987515
13,oranjestad,12.524,-70.027,80.91,88,20,20.71,AW,1682987515
14,st. john's,47.5649,-52.7093,35.67,92,100,8.05,CA,1682987303
15,keflavik,64.0049,-22.5624,39.63,75,75,8.05,IS,1682987516
16,hawaiian paradise park,19.5933,-154.9731,79.03,74,75,16.11,US,1682987516
17,hobyo,5.3505,48.5268,84.15,73,79,17.34,SO,1682987516
18,laascaanood,8.4774,47.3597,74.52,72,99,7.78,SO,1682987516
19,igarka,67.4667,86.5833,17.98,83,15,5.12,RU,1682987516
20,port-aux-francais,-49.35,70.2167,37.53,68,52,12.37,TF,1682987516
21,macon,39.8667,-88.9668,60.85,27,0,18.41,US,1682987516
22,adamstown,-25.066,-130.1015,78.04,74,25,13.91,PN,1682987517
23,port elizabeth,-33.918,25.5701,59.31,95,0,5.75,ZA,1682987517
24,yuzhno-kurilsk,44.0306,145.8556,41.43,68,3,13.33,RU,1682987517
25,tateyama,34.9833,139.8667,62.22,40,0,14.85,JP,1682987517
26,yemetsk,63.4721,41.7941,36.45,79,100,7.38,RU,1682987517
27,callao,-12.0667,-77.15,75.72,78,75,10.36,PE,1682987518
28,sovetskaya gavan',48.9723,140.2878,56.68,39,79,6.64,RU,1682987518
29,sikasso,10.9167,-7.0,86.85,34,100,1.48,ML,1682987518
30,port alfred,-33.5906,26.891,62.65,88,95,10.69,ZA,1682987518
31,grytviken,-54.2811,-36.5092,28.18,76,18,10.04,GS,1682987518
32,tiksi,71.6872,128.8694,22.51,93,100,9.19,RU,1682987519
33,vorgashor,67.5833,63.95,28.22,82,100,19.89,RU,1682987519
34,udachny,66.4167,112.4,16.45,78,100,17.49,RU,1682987519
35,tura,25.5198,90.2201,72.19,81,42,0.81,IN,1682987519
36,opuwo,-18.0607,13.84,69.24,42,74,2.62,NA,1682987519
37,cidreira,-30.1811,-50.2056,69.84,87,100,8.12,BR,1682987520
38,cannonvale,-20.2833,148.7,78.19,72,100,12.82,AU,1682987520
39,extrema,-22.8547,-46.3183,58.41,87,0,2.51,BR,1682987520
40,geraldton,-28.7667,114.6,63.01,39,0,10.36,AU,1682987520
41,college,64.8569,-147.8028,55.72,40,75,3.44,US,1682987415
42,hithadhoo,-0.6,73.0833,81.0,81,100,15.9,MV,1682987520
43,ancud,-41.8697,-73.8203,48.69,92,38,0.85,CL,1682987520
44,malvan,16.0667,73.4667,76.5,74,8,6.82,IN,1682987521
45,arteche,12.2645,125.4048,82.31,86,100,12.57,PH,1682987521
46,ushuaia,-54.8,-68.3,37.06,87,75,17.27,AR,1682987521
47,yellowknife,62.456,-114.3525,61.32,39,40,10.36,CA,1682987499
48,chifeng,42.2683,118.9636,69.21,41,0,21.16,CN,1682987521
49,blackmans bay,-43.0167,147.3167,59.74,77,100,4.83,AU,1682987522
50,bologoye,57.8799,34.1068,34.88,76,62,6.22,RU,1682987522
51,stanley,54.868,-1.6985,43.79,91,75,4.61,GB,1682987352
52,ebon,4.582,168.6964,82.83,80,100,17.02,MH,1682987522
53,invercargill,-46.4,168.35,57.4,71,100,2.33,NZ,1682987522
54,karachi,24.9056,67.0822,75.02,57,75,2.3,PK,1682987522
55,haiku-pauwela,20.9219,-156.3051,84.22,48,20,11.5,US,1682987522
56,aransas pass,27.9095,-97.15,77.99,81,0,14.97,US,1682987523
57,ibshaway,29.358,30.6814,63.68,51,0,9.66,EG,1682987523
58,nadym,65.5333,72.5167,20.03,95,100,10.31,RU,1682987523
59,klyuchi,52.2667,79.1667,33.01,57,9,11.99,RU,1682987523
60,novyy urgal,51.0736,132.5642,58.95,32,100,11.14,RU,1682987523
61,paita,-5.0892,-81.1144,79.07,76,52,14.97,PE,1682987523
62,apsheronsk,44.46,39.73,43.83,88,84,3.06,RU,1682987524
63,albany,42.6001,-73.9662,49.46,71,100,4.43,US,1682987402
64,reggane,26.7158,0.1714,89.13,12,19,19.48,DZ,1682987524
65,serdar,38.9764,56.2757,67.98,61,100,12.53,TM,1682987524
66,vila velha,-20.3297,-40.2925,68.95,89,75,4.61,BR,1682987524
67,jeremie,18.65,-74.1167,79.5,78,99,0.27,HT,1682987524
68,carnarvon,-24.8667,113.6333,77.76,50,0,7.67,AU,1682987525
69,anadyr,64.75,177.4833,12.7,78,0,13.42,RU,1682987525
70,wailua homesteads,22.0669,-159.378,79.59,73,20,9.22,US,1682987525
71,bethel,41.3712,-73.414,54.01,67,89,5.17,US,1682987525
72,port saint john's,-31.6229,29.5448,64.67,79,9,6.87,ZA,1682987525
73,galesong,-5.3166,119.3661,80.62,76,52,3.33,ID,1682987525
74,bilibino,68.0546,166.4372,20.03,74,36,2.89,RU,1682987526
75,mananjary,-21.2167,48.3333,72.27,89,100,7.05,MG,1682987526
76,springbok,-29.6643,17.8865,48.0,45,13,1.63,ZA,1682987526
77,urengoy,65.9667,78.3667,16.11,77,19,2.19,RU,1682987526
78,pisco,-13.7,-76.2167,70.02,78,0,16.11,PE,1682987526
79,atafu village,-8.5421,-172.5159,83.79,77,12,14.88,TK,1682987527
80,yaren,-0.5472,166.916,83.62,78,75,15.88,NR,1682987527
81,inhambane,-23.865,35.3833,72.18,79,58,5.12,MZ,1682987527
82,lazaro cardenas,17.9583,-102.2,82.18,52,14,9.31,MX,1682987233
83,sao joao da barra,-21.6403,-41.0511,73.49,88,3,4.18,BR,1682987527
84,fomboni,-12.28,43.7425,81.5,66,19,13.58,KM,1682987527
85,kununurra,-15.7667,128.7333,80.58,39,96,13.8,AU,1682987528
86,iskateley,67.6803,53.1512,35.29,100,100,15.68,RU,1682987528
87,saudarkrokur,65.7461,-19.6394,32.79,85,32,0.36,IS,1682987528
88,biloela,-24.4167,150.5,73.65,31,100,3.78,AU,1682987528
89,uturoa,-16.7333,-151.4333,82.56,76,100,15.5,PF,1682987528
90,fortuna,40.5982,-124.1573,53.98,75,100,10.94,US,1682987528
91,stanthorpe,-28.6667,151.95,55.42,64,100,12.35,AU,1682987529
92,bomdila,27.25,92.4,50.54,91,100,1.12,IN,1682987529
93,ta`u,-14.2336,-169.5144,81.95,79,43,24.96,AS,1682987529
94,lorengau,-2.0226,147.2712,82.38,82,100,7.72,PG,1682987529
95,lompoc,34.6391,-120.4579,61.02,73,75,13.8,US,1682987479
96,taroa,8.7058,171.2275,81.63,81,100,21.14,MH,1682987529
97,qionghu,28.843,112.3522,66.02,83,100,6.33,CN,1682987529
98,colonia,50.9333,6.95,53.96,85,75,1.14,DE,1682987397
99,malango,-2.9627,119.9001,75.22,85,92,0.83,ID,1682987530
100,aksaray,38.3726,34.0254,45.54,55,53,4.54,TR,1682987530
101,umm kaddadah,13.6017,26.6876,81.99,15,8,10.54,SD,1682987530
102,fort-shevchenko,44.5086,50.263,57.69,90,100,25.97,KZ,1682987530
103,mashhad,36.297,59.6062,60.94,55,0,0.0,IR,1682987531
